Gene	bNum	Rna_37C	Rna_10min	Rna_30min	Rna_2hr	Rna_3hr	Rna_4hr	Rna_6hr	Filter_2f	Cluster group	First ORF	ORF start	TSS	5'UTR length	Other TSS
xthA	b1749	1.31E-04	1.17E-04	1.14E-04	1.25E-04	1.02E-04	1.13E-04	1.40E-04	NO						
ydjX	b1750	0.00E+00	6.44E-06	3.82E-06	5.44E-06	1.36E-05	8.68E-06	9.16E-06	NO						
ydjY	b1751	1.55E-07	3.16E-06	5.78E-06	7.59E-06	9.72E-06	6.05E-06	9.99E-06	NO						
ydjZ	b1752	1.24E-06	5.33E-06	7.39E-06	1.30E-05	1.16E-05	9.80E-06	9.99E-06	NO						
ynjA	b1753	2.79E-06	6.32E-06	1.09E-05	1.51E-05	1.34E-05	1.19E-05	1.75E-05	NO						
ynjB	b1754	7.77E-06	1.42E-05	1.74E-05	2.57E-05	2.77E-05	1.82E-05	2.08E-05	NO						
ynjC	b1755	1.94E-05	1.40E-05	1.79E-05	2.51E-05	2.15E-05	1.94E-05	3.08E-05	NO						
ynjD	b1756	1.55E-07	7.11E-06	7.40E-06	6.93E-06	1.05E-05	9.23E-06	6.66E-06	NO						
ynjE	b1757	1.59E-05	1.56E-05	1.28E-05	1.36E-05	5.38E-06	8.62E-06	9.17E-06	NO						
nudG	b1759	4.50E-06	6.32E-06	3.37E-06	4.48E-06	5.62E-06	2.05E-06	2.50E-06	NO						
gdhA	b1761	6.54E-05	4.96E-05	6.02E-05	7.18E-05	7.58E-05	9.88E-05	1.17E-04	NO						
sppA	b1766	9.61E-05	1.11E-04	1.26E-04	1.27E-04	1.34E-04	1.07E-04	1.11E-04	NO						
ansA	b1767	9.42E-05	1.16E-04	1.01E-04	8.05E-05	7.07E-05	7.68E-05	7.16E-05	NO						
pncA	b1768	7.95E-05	8.46E-05	7.63E-05	6.08E-05	5.50E-05	4.31E-05	3.37E-05	NO						
gapA	b1779	4.62E-03	3.44E-03	2.18E-03	9.90E-04	6.50E-04	5.93E-04	9.22E-04	NO						
yeaD	b1780	4.68E-05	4.22E-05	2.99E-05	1.98E-05	1.69E-05	9.75E-06	7.50E-06	NO						
yeaG	b1783	6.22E-06	9.30E-06	1.01E-05	1.43E-05	1.36E-05	1.71E-05	6.42E-05	NO						
yeaH	b1784	3.26E-06	9.89E-07	4.17E-06	5.10E-06	4.61E-06	6.57E-06	3.33E-05	NO						
yeaI	b1785	6.22E-07	4.55E-06	4.82E-05	1.41E-05	1.02E-06	1.07E-05	2.17E-05	NO						
yeaJ	b1786	4.12E-05	3.23E-05	3.31E-05	4.15E-05	4.81E-05	5.61E-05	1.28E-04	NO						
yeaK	b1787	1.80E-05	2.55E-05	2.41E-05	3.25E-05	4.07E-05	4.04E-05	6.51E-05	NO						
yeaL	b1789	3.72E-06	9.90E-06	1.28E-05	1.53E-05	1.33E-05	1.81E-05	3.47E-05	NO						
yeaN	b1791	2.49E-06	3.16E-06	6.02E-06	8.97E-06	9.47E-06	7.18E-06	9.58E-06	NO						
yeaO	b1792	4.65E-06	3.00E-06	4.39E-06	3.85E-06	5.36E-06	3.67E-06	9.35E-06	NO						
yeaP	b1794	2.80E-05	5.13E-05	5.16E-05	4.31E-05	5.27E-05	6.66E-05	4.05E-05	NO						
yeaU	b1800	1.26E-05	4.62E-06	4.30E-06	2.90E-06	7.17E-06	3.08E-06	5.00E-06	NO						
yeaV	b1801	0.00E+00	5.93E-07	2.78E-06	1.84E-06	3.84E-06	2.34E-06	5.00E-06	NO						
yeaW	b1802	3.11E-07	3.95E-07	2.55E-06	1.84E-06	6.66E-06	2.46E-06	0.00E+00	NO						
yeaX	b1803	0.00E+00	3.95E-06	2.89E-06	3.67E-06	6.66E-06	3.28E-06	3.33E-06	NO						
yoaB	b1809	7.72E-05	7.41E-05	5.61E-05	5.57E-05	4.65E-05	4.02E-05	5.86E-05	NO						
yoaC	b1810	1.15E-05	1.59E-05	1.44E-05	1.47E-05	1.64E-05	1.43E-05	3.35E-05	NO						
pabB	b1812	5.32E-05	4.47E-05	3.29E-05	2.42E-05	2.97E-05	2.41E-05	1.42E-05	NO						
nudL	b1813	1.01E-05	1.64E-05	1.72E-05	1.37E-05	1.84E-05	1.32E-05	7.91E-06	NO						
sdaA	b1814	1.56E-04	1.58E-04	1.27E-04	1.21E-04	1.18E-04	1.40E-04	2.85E-04	NO						
yoaD	b1815	0.00E+00	1.11E-05	1.53E-05	9.79E-06	1.38E-05	8.85E-06	1.33E-05	NO						
manX	b1817	3.04E-04	1.84E-04	1.52E-04	9.02E-05	6.53E-05	5.58E-05	5.25E-05	NO						
manY	b1818	1.93E-04	1.74E-04	1.64E-04	1.09E-04	8.91E-05	8.21E-05	8.27E-05	NO						
manZ	b1819	2.10E-04	1.54E-04	1.68E-04	9.02E-05	8.40E-05	8.13E-05	7.70E-05	NO						
yobD	b1820	0.00E+00	8.49E-06	1.32E-05	7.33E-06	5.37E-06	8.40E-06	1.21E-05	NO						
yebN	b1821	3.73E-06	8.67E-06	1.02E-05	8.25E-06	4.60E-06	4.08E-06	2.50E-06	NO						
yobH	b4536	1.78E-05	1.65E-05	1.62E-05	2.83E-05	3.36E-05	3.05E-05	2.76E-05	NO						
yebQ	b1828	0.00E+00	3.56E-06	5.79E-06	2.66E-05	4.49E-05	3.13E-05	2.71E-05	NO						
yebS	b1833	1.79E-05	3.17E-05	5.86E-05	1.43E-04	1.69E-04	1.79E-04	1.27E-04	NO						
yebT	b1834	1.99E-05	6.74E-05	1.14E-04	2.05E-04	2.36E-04	1.85E-04	1.68E-04	NO						
rsmF	b1835	2.24E-05	5.20E-05	5.03E-05	5.65E-05	6.35E-05	4.09E-05	4.25E-05	NO						
yebV	b1836	4.95E-06	4.92E-06	5.92E-06	3.30E-06	7.40E-06	3.33E-06	4.98E-06	NO						
yebW	b1837	0.00E+00	5.18E-06	4.66E-06	7.03E-06	5.48E-06	4.39E-06	3.32E-06	NO						
holE	b1842	1.04E-05	9.94E-06	6.00E-06	5.28E-06	3.06E-06	2.86E-06	1.66E-06	NO						
yobB	b1843	4.66E-06	1.30E-05	1.09E-05	1.63E-05	1.05E-05	1.55E-05	2.17E-05	NO						
exoX	b1844	2.24E-05	2.31E-05	1.83E-05	1.43E-05	1.38E-05	1.56E-05	2.35E-05	NO						
purT	b1849	4.66E-07	2.04E-05	2.01E-05	1.53E-05	1.05E-05	6.77E-06	8.33E-06	NO						
yebK	b1853	6.22E-05	2.91E-05	2.75E-05	2.55E-05	2.82E-05	3.34E-05	4.83E-05	NO						
pykA	b1854	2.29E-04	1.89E-04	1.54E-04	9.32E-05	1.04E-04	7.38E-05	1.64E-04	NO						
znuC	b1858	1.63E-04	1.80E-04	2.04E-04	2.65E-04	2.54E-04	2.44E-04	2.44E-04	NO						
znuB	b1859	8.30E-05	1.77E-04	2.79E-04	3.11E-04	2.57E-04	2.41E-04	2.68E-04	NO						
yebB	b1862	0.00E+00	7.90E-07	2.54E-06	3.87E-06	6.40E-06	3.49E-06	5.83E-06	NO						
yecD	b1867	1.44E-05	2.31E-05	2.73E-05	2.09E-05	1.46E-05	2.57E-05	2.25E-05	NO						
yecE	b1868	2.49E-06	2.33E-05	2.20E-05	1.53E-05	1.56E-05	2.04E-05	1.33E-05	NO						
yecN	b1869	3.38E-05	4.55E-05	5.75E-05	5.54E-05	5.01E-05	4.42E-05	3.66E-05	NO						
cmoA	b1870	9.07E-05	9.51E-05	7.78E-05	5.33E-05	6.12E-05	4.57E-05	3.66E-05	NO						
cmoB	b1871	1.60E-04	1.38E-04	1.61E-04	1.07E-04	8.26E-05	7.49E-05	8.59E-05	NO						
argS	b1876	4.03E-04	4.47E-04	3.79E-04	1.90E-04	1.33E-04	9.56E-05	1.85E-04	NO						
yecT	b1877	0.00E+00	8.59E-06	9.02E-06	6.72E-06	1.13E-05	6.35E-06	9.99E-06	NO						
uspC	b1895	1.13E-05	5.53E-06	3.35E-06	8.84E-06	1.07E-05	1.62E-05	2.58E-05	NO						
ftnB	b1902	1.47E-05	1.68E-05	1.34E-05	1.45E-05	2.15E-05	2.48E-05	3.25E-05	NO						
yecR	b1904	0.00E+00	3.94E-07	9.24E-07	1.42E-06	1.53E-06	8.19E-07	0.00E+00	NO						
ftnA	b1905	1.91E-05	3.73E-05	2.16E-05	1.14E-05	9.46E-06	1.41E-05	2.08E-05	NO						
tyrP	b1907	8.05E-05	5.73E-05	6.75E-05	3.66E-05	4.81E-05	2.56E-05	2.42E-05	NO						
yecF	b1915	2.37E-05	2.96E-05	2.71E-05	3.27E-05	2.97E-05	2.37E-05	4.31E-05	NO						
fliD	b1924	0.00E+00	2.57E-06	6.02E-06	1.08E-05	1.28E-05	1.35E-05	1.75E-05	NO						
fliS	b1925	0.00E+00	5.92E-07	2.08E-06	5.68E-06	4.86E-06	3.91E-06	5.82E-06	NO						
fliT	b1926	0.00E+00	1.18E-06	1.85E-06	2.85E-06	8.43E-06	2.87E-06	4.16E-06	NO						
amyA	b1927	2.58E-05	1.58E-05	1.31E-05	3.85E-05	4.05E-05	4.39E-05	8.42E-05	NO						
yedE	b1929	1.01E-04	1.35E-04	1.16E-04	8.66E-05	7.66E-05	6.23E-05	1.53E-04	NO						
yedF	b1930	2.40E-05	3.04E-05	2.75E-05	1.14E-05	8.67E-06	1.00E-05	1.98E-05	NO						
yedK	b1931	2.80E-06	4.65E-06	9.60E-06	7.69E-06	3.58E-06	3.90E-06	1.25E-05	NO						
yedL	b1932	0.00E+00	1.38E-06	1.16E-06	3.46E-06	3.32E-06	2.05E-06	1.66E-06	NO						
intG	b1936	0.00E+00	9.82E-07	9.20E-07	2.13E-06	3.90E-06	1.02E-06	2.48E-06	NO						
fliF	b1938	0.00E+00	1.78E-06	2.32E-06	1.84E-06	1.54E-06	3.49E-06	4.17E-06	NO						
fliG	b1939	0.00E+00	2.37E-06	2.78E-06	5.51E-06	6.66E-06	4.31E-06	5.00E-06	NO						
fliH	b1940	0.00E+00	5.93E-07	1.39E-06	3.26E-06	3.84E-06	3.28E-06	2.50E-06	NO						
fliI	b1941	0.00E+00	7.91E-07	1.04E-06	4.90E-06	3.07E-06	3.39E-06	5.00E-06	NO						
fliJ	b1942	9.93E-06	1.97E-07	2.66E-05	2.26E-05	1.02E-06	1.64E-06	1.54E-05	NO						
fliK	b1943	1.55E-07	5.93E-07	3.94E-06	1.53E-06	0.00E+00	1.44E-06	8.33E-07	NO						
fliL	b1944	0.00E+00	5.92E-07	2.31E-07	2.04E-07	5.11E-07	1.02E-06	8.32E-07	NO						
fliM	b1945	1.86E-06	1.58E-06	4.63E-06	3.47E-06	5.12E-06	4.10E-06	4.58E-06	NO						
fliN	b1946	0.00E+00	7.89E-07	9.25E-07	1.22E-06	1.79E-06	2.25E-06	8.32E-07	NO						
fliO	b1947	0.00E+00	7.89E-07	4.62E-07	1.02E-06	5.11E-07	1.02E-06	8.32E-07	NO						
fliP	b1948	0.00E+00	5.93E-07	1.39E-06	7.13E-07	0.00E+00	1.57E-06	3.33E-06	NO						
fliQ	b1949	7.90E-06	1.97E-07	2.31E-07	4.07E-07	0.00E+00	4.09E-07	0.00E+00	NO						
fliR	b1950	0.00E+00	1.38E-06	6.94E-07	2.51E-06	1.54E-06	1.23E-06	2.50E-06	NO						
rcsA	b1951	8.39E-06	1.38E-06	1.16E-06	8.15E-06	1.69E-05	2.62E-05	4.44E-05	NO						
yodD	b1953	0.00E+00	3.94E-07	2.08E-06	2.84E-06	1.53E-06	2.66E-06	4.98E-06	NO						
yedP	b1955	1.09E-06	2.17E-06	4.40E-06	8.77E-06	9.73E-06	1.01E-05	2.50E-05	NO						
yedA	b1959	1.55E-07	8.63E-06	2.69E-05	1.30E-04	1.50E-04	1.48E-04	1.18E-04	NO						
yedS	b4496	2.17E-06	5.14E-06	9.37E-06	7.64E-06	8.44E-06	6.26E-06	1.08E-05	NO						
yedS	b4496	3.12E-05	2.52E-05	7.86E-06	7.54E-06	8.61E-06	1.44E-05	1.26E-05	NO						
hchA	b1967	1.52E-05	1.17E-05	1.22E-05	4.69E-06	3.58E-06	1.14E-05	9.16E-06	NO						
yedX	b1970	0.00E+00	2.76E-06	1.16E-06	1.22E-06	2.04E-06	2.25E-06	4.99E-06	NO						
yedY	b1971	4.35E-06	7.91E-06	1.06E-05	2.59E-05	2.46E-05	2.48E-05	2.08E-05	NO						
yedZ	b1972	9.32E-06	7.11E-06	6.13E-06	1.31E-05	1.71E-05	1.54E-05	1.83E-05	NO						
yodA	b1973	2.84E-03	2.15E-03	1.26E-03	7.05E-04	6.07E-04	7.54E-04	7.51E-04	NO						
yodB	b1974	1.88E-05	8.93E-05	6.91E-05	4.52E-05	6.39E-05	7.45E-05	3.62E-05	NO						
mtfA	b1976	1.15E-05	1.44E-05	3.36E-05	2.45E-05	2.35E-05	3.03E-05	3.17E-05	NO						
yeeJ	b1978	2.19E-05	5.05E-05	6.81E-05	1.37E-04	1.68E-04	1.46E-04	1.18E-04	NO						
shiA	b1981	9.05E-05	8.49E-05	1.18E-04	3.03E-04	3.94E-04	7.67E-04	6.54E-04	NO						
amn	b1982	4.93E-05	5.28E-05	6.10E-05	1.14E-04	1.99E-04	2.60E-04	2.87E-04	NO						
yeeN	b1983	2.68E-04	1.95E-04	1.45E-04	1.27E-04	1.28E-04	2.30E-04	3.66E-04	NO						
yoeA	b4582	0.00E+00	1.77E-06	1.62E-06	4.88E-06	6.38E-06	4.81E-06	3.32E-06	NO						
yoeA	b4582	0.00E+00	1.77E-06	4.61E-07	3.04E-06	2.55E-06	3.06E-06	2.49E-06	NO						
yeeP	b1999	1.55E-07	2.77E-06	5.09E-06	7.80E-06	3.58E-06	6.87E-06	8.32E-07	NO						
flu	b2000	5.40E-05	3.62E-05	3.31E-05	2.51E-05	2.66E-05	2.28E-05	1.08E-05	NO						
yeeR	b2001	1.71E-06	5.34E-06	4.86E-06	1.16E-05	1.20E-05	1.22E-05	9.17E-06	NO						
yeeS	b2002	0.00E+00	9.87E-07	6.94E-07	3.05E-06	1.28E-06	2.87E-06	1.66E-06	NO						
yeeT	b2003	0.00E+00	0.00E+00	0.00E+00	2.03E-07	0.00E+00	4.09E-07	0.00E+00	NO						
yeeU	b2004	0.00E+00	0.00E+00	1.39E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	NO						
yeeV	b2005	0.00E+00	0.00E+00	2.31E-07	0.00E+00	0.00E+00	2.05E-07	1.66E-06	NO						
yeeW	b2006	6.18E-06	2.75E-06	1.84E-06	1.82E-06	5.85E-06	3.06E-06	4.29E-06	NO						
yoeF	b4538	0.00E+00	2.16E-06	1.77E-06	2.66E-06	1.27E-06	1.84E-06	3.32E-06	NO						
sbcB	b2011	9.19E-05	5.25E-05	4.26E-05	5.55E-05	5.74E-05	8.89E-05	9.25E-05	NO						
hisL	b2018	3.46E-07	4.79E-06	1.01E-06	1.51E-06	3.81E-06	1.05E-05	1.43E-06	NO						
hisG	b2019	2.22E-04	1.69E-04	2.21E-04	2.35E-04	2.05E-04	1.65E-04	7.07E-05	NO						
hisD	b2020	1.76E-04	1.31E-04	2.27E-04	2.83E-04	2.82E-04	2.30E-04	1.10E-04	NO						
hisC	b2021	1.21E-04	1.05E-04	1.48E-04	2.13E-04	2.09E-04	1.78E-04	8.02E-05	NO						
hisB	b2022	1.95E-04	1.58E-04	1.79E-04	2.30E-04	1.98E-04	2.10E-04	8.92E-05	NO						
hisH	b2023	8.52E-05	7.74E-05	1.00E-04	1.29E-04	1.29E-04	1.02E-04	7.05E-05	NO						
hisA	b2024	8.79E-05	7.75E-05	9.90E-05	1.40E-04	1.31E-04	1.30E-04	8.46E-05	NO						
hisF	b2025	1.40E-04	9.54E-05	9.81E-05	1.17E-04	1.22E-04	1.37E-04	7.33E-05	NO						
hisI	b2026	9.12E-05	8.91E-05	8.11E-05	9.50E-05	8.93E-05	9.20E-05	7.16E-05	NO						
yegH	b2063	5.21E-05	5.72E-05	6.46E-05	6.02E-05	6.08E-05	7.03E-05	9.34E-05	NO						
yegE	b2067	2.52E-05	3.52E-05	5.12E-05	6.57E-05	7.58E-05	7.91E-05	6.75E-05	NO						
yegD	b2069	2.24E-05	5.58E-05	5.35E-05	3.11E-05	3.45E-05	2.94E-05	5.96E-05	NO						
yegJ	b2071	0.00E+00	7.90E-07	4.62E-07	1.16E-06	3.58E-06	3.13E-06	7.28E-06	NO						
mdtA	b2074	2.88E-05	2.03E-05	2.08E-05	4.30E-05	4.25E-05	3.79E-05	2.75E-05	NO						
mdtB	b2075	3.56E-05	3.50E-05	5.06E-05	7.88E-05	6.40E-05	7.45E-05	7.00E-05	NO						
mdtC	b2076	3.11E-06	2.95E-05	4.07E-05	6.34E-05	8.07E-05	7.56E-05	5.50E-05	NO						
mdtD	b2077	8.39E-06	6.13E-06	1.32E-05	2.17E-05	2.54E-05	2.34E-05	3.43E-05	NO						
baeS	b2078	3.51E-05	1.11E-05	1.39E-05	2.18E-05	2.47E-05	2.82E-05	2.75E-05	NO						
baeR	b2079	3.01E-05	2.60E-05	4.37E-05	5.77E-05	5.81E-05	5.53E-05	3.50E-05	NO						
yegP	b2080	0.00E+00	4.14E-06	3.76E-06	3.99E-06	8.91E-06	6.55E-06	2.49E-06	NO						
yegQ	b2081	1.79E-04	2.39E-04	1.92E-04	1.13E-04	8.58E-05	8.26E-05	1.47E-04	NO						
yegS	b2086	0.00E+00	2.57E-06	3.47E-06	1.28E-05	1.82E-05	2.07E-05	4.00E-05	NO						
insE	b2088	1.18E-06	2.51E-06	2.99E-06	4.99E-06	7.20E-06	4.29E-06	3.76E-06	NO						
insF	b2089	6.18E-06	5.13E-06	8.80E-06	1.22E-05	1.36E-05	1.27E-05	1.25E-05	NO						
yegT	b2098	4.20E-06	5.73E-06	5.56E-06	9.59E-06	9.99E-06	7.13E-06	1.09E-05	NO						
yegU	b2099	1.01E-05	1.05E-05	1.27E-05	1.30E-05	1.23E-05	1.35E-05	1.42E-05	NO						
yegV	b2100	2.33E-06	7.18E-06	1.25E-05	6.93E-06	6.66E-06	8.07E-06	5.83E-06	NO						
yohN	b2107	3.68E-05	3.09E-05	2.76E-05	5.15E-05	7.73E-05	8.94E-05	7.22E-05	NO						
metG	b2114	6.80E-04	6.05E-04	5.87E-04	5.05E-04	5.17E-04	5.43E-04	4.22E-04	NO						
yehH	b4499	1.06E-05	1.72E-05	2.66E-05	4.33E-05	4.69E-05	3.70E-05	2.21E-05	NO						
yehH	b4499	0.00E+00	2.17E-06	1.16E-06	2.85E-06	2.05E-06	3.28E-06	8.33E-07	NO						
yehI	b2118	9.33E-06	4.75E-06	9.73E-06	1.15E-05	1.43E-05	1.90E-05	9.17E-06	NO						
yehK	b4541	0.00E+00	1.97E-07	1.39E-06	4.07E-07	2.55E-07	6.14E-07	0.00E+00	NO						
yehL	b2119	0.00E+00	3.56E-06	4.17E-06	4.69E-06	7.68E-07	3.90E-06	3.33E-06	NO						
yehM	b2120	2.18E-06	4.15E-06	6.95E-06	8.77E-06	1.38E-05	1.23E-05	1.08E-05	NO						
yehP	b2121	5.75E-06	2.77E-06	2.55E-06	3.47E-06	5.38E-06	7.42E-06	4.17E-06	NO						
yehQ	b2122	0.00E+00	5.34E-06	5.79E-06	1.14E-05	2.10E-05	1.61E-05	1.42E-05	NO						
yehR	b2123	9.16E-06	3.55E-06	9.25E-07	2.77E-06	5.11E-07	4.30E-06	4.16E-06	NO						
mlrA	b2127	3.11E-06	1.58E-06	9.02E-06	1.11E-05	1.15E-05	1.23E-05	9.99E-06	NO						
yohO	b4542	2.46E-06	7.91E-06	2.10E-05	5.90E-05	7.40E-05	8.76E-05	1.24E-04	NO						
dld	b2133	6.11E-05	7.37E-05	6.54E-05	1.20E-04	1.69E-04	2.93E-04	4.83E-04	NO						
yohD	b2136	5.28E-06	1.32E-05	2.98E-05	5.42E-05	5.53E-05	6.10E-05	7.49E-05	NO						
yohJ	b2141	3.10E-06	2.37E-06	4.16E-06	6.92E-06	7.16E-06	7.63E-06	5.82E-06	NO						
yohK	b2142	1.09E-06	7.01E-06	1.24E-05	9.81E-06	8.19E-06	9.03E-06	1.82E-05	NO						
cdd	b2143	1.71E-05	2.79E-05	2.85E-05	2.75E-05	2.23E-05	2.04E-05	2.67E-05	NO						
sanA	b2144	1.90E-05	2.44E-05	1.71E-05	1.71E-05	2.05E-05	1.07E-05	1.28E-05	NO						
yeiS	b2145	1.70E-06	5.00E-06	4.32E-06	3.40E-06	2.55E-07	1.23E-06	2.49E-06	NO						
yeiT	b2146	0.00E+00	6.39E-06	1.53E-05	6.32E-06	4.61E-06	5.41E-06	5.00E-06	NO						
yeiA	b2147	4.51E-06	5.93E-06	1.37E-05	1.05E-05	5.12E-06	8.83E-06	1.00E-05	NO						
yeiH	b2158	1.01E-05	1.17E-05	2.48E-05	4.88E-05	4.76E-05	6.81E-05	8.92E-05	NO						
nfo	b2159	6.90E-05	4.49E-05	4.27E-05	5.18E-05	6.96E-05	6.25E-05	7.65E-05	NO						
yeiI	b2160	3.20E-05	4.04E-05	3.90E-05	5.57E-05	5.20E-05	6.68E-05	8.75E-05	NO						
yeiL	b2163	0.00E+00	3.95E-07	1.62E-06	3.06E-07	0.00E+00	1.09E-06	8.33E-07	NO						
setB	b2170	0.00E+00	9.65E-06	8.80E-06	1.67E-05	9.73E-06	1.48E-05	2.33E-05	NO						
yeiP	b2171	2.48E-04	1.45E-04	7.82E-05	2.85E-05	1.30E-05	1.88E-05	3.18E-05	NO						
yeiQ	b2172	1.10E-05	1.46E-05	2.29E-05	3.61E-05	5.86E-05	4.69E-05	2.67E-05	NO						
yeiR	b2173	3.59E-05	3.80E-05	2.85E-05	3.01E-05	3.89E-05	3.47E-05	2.44E-05	NO						
lpxT	b2174	6.61E-05	6.64E-05	6.27E-05	3.69E-05	3.16E-05	3.06E-05	2.00E-05	NO						
spr	b2175	2.82E-04	4.10E-04	4.05E-04	5.77E-04	5.36E-04	6.22E-04	6.33E-04	NO						
rtn	b2176	3.17E-05	6.21E-05	9.07E-05	1.71E-04	2.63E-04	2.00E-04	1.45E-04	NO						
yejA	b2177	3.28E-05	4.14E-05	4.51E-05	7.46E-05	1.09E-04	9.64E-05	6.53E-05	NO						
yejB	b2178	3.11E-06	1.84E-05	2.66E-05	3.26E-05	2.87E-05	3.84E-05	2.04E-05	NO						
yejE	b2179	5.59E-06	1.64E-05	2.37E-05	1.86E-05	1.56E-05	2.59E-05	2.00E-05	NO						
yejF	b2180	1.13E-05	2.93E-05	3.33E-05	1.91E-05	2.66E-05	2.61E-05	2.23E-05	NO						
yejH	b2184	2.05E-05	2.39E-05	3.54E-05	6.73E-05	1.13E-04	7.44E-05	3.88E-05	NO						
rplY	b2185	1.02E-03	9.24E-04	5.37E-04	3.99E-04	3.27E-04	2.01E-04	3.93E-04	NO						
yejL	b2187	1.71E-05	3.11E-05	2.33E-05	4.11E-05	6.93E-05	6.32E-05	5.06E-05	NO						
yejM	b2188	8.47E-05	2.07E-04	2.35E-04	3.64E-04	4.98E-04	4.68E-04	3.94E-04	NO						
narP	b2193	5.34E-05	8.71E-05	8.76E-05	8.26E-05	8.62E-05	7.16E-05	9.78E-05	NO						
yojO	b4604	0.00E+00	1.96E-07	0.00E+00	0.00E+00	7.63E-07	6.12E-07	0.00E+00	NO						
eco	b2209	1.97E-05	3.15E-05	1.54E-05	2.02E-05	1.80E-05	2.50E-05	3.25E-05	NO						
rcsD	b2216	2.06E-04	2.89E-04	2.90E-04	3.82E-04	4.96E-04	5.81E-04	6.19E-04	NO						
rcsB	b2217	3.07E-04	2.42E-04	2.49E-04	3.51E-04	4.37E-04	5.22E-04	7.26E-04	NO						
atoS	b2219	0.00E+00	2.41E-06	3.36E-06	5.51E-06	8.20E-06	7.39E-06	5.84E-06	NO						
atoC	b2220	0.00E+00	7.32E-06	3.59E-06	5.30E-06	3.58E-06	8.21E-06	5.83E-06	NO						
atoD	b2221	0.00E+00	0.00E+00	1.85E-06	1.63E-06	1.28E-06	1.23E-06	0.00E+00	NO						
atoA	b2222	0.00E+00	5.93E-07	0.00E+00	1.22E-06	2.56E-07	1.03E-06	1.67E-06	NO						
atoE	b2223	0.00E+00	5.93E-07	1.85E-06	2.65E-06	3.58E-06	5.13E-06	3.33E-06	NO						
atoB	b2224	3.58E-06	2.17E-06	3.24E-06	6.02E-06	7.68E-06	7.80E-06	5.83E-06	NO						
ubiG	b2232	7.29E-05	8.12E-05	9.83E-05	1.19E-04	1.12E-04	9.96E-05	1.01E-04	NO						
nrdA	b2234	6.90E-04	6.74E-04	5.80E-04	4.48E-04	3.69E-04	2.29E-04	1.65E-04	NO						
nrdB	b2235	4.13E-04	3.32E-04	2.78E-04	1.56E-04	1.16E-04	7.39E-05	8.21E-05	NO						
yfaE	b2236	3.05E-05	4.88E-05	4.36E-05	3.03E-05	2.02E-05	1.05E-05	1.33E-05	NO						
yfaH	b2238	0.00E+00	1.18E-06	1.85E-06	2.24E-06	4.81E-06	1.27E-06	1.66E-06	NO						
glpA	b2241	0.00E+00	2.57E-06	8.11E-06	8.31E-06	8.45E-06	3.64E-06	5.83E-06	NO						
glpB	b2242	0.00E+00	1.19E-06	3.24E-06	7.14E-06	2.02E-05	5.58E-06	6.67E-06	NO						
glpC	b2243	0.00E+00	9.89E-07	3.26E-06	3.06E-06	4.35E-06	6.16E-06	6.67E-06	NO						
yfaD	b2244	5.44E-06	9.19E-06	7.45E-06	7.44E-06	3.84E-06	7.25E-06	3.75E-06	NO						
ypaA	b4543	2.71E-06	4.03E-06	2.42E-06	2.89E-06	3.31E-06	2.76E-06	4.97E-06	NO						
nudI	b2251	2.95E-06	8.68E-06	1.08E-05	1.67E-05	1.78E-05	1.93E-05	2.12E-05	NO						
arnB	b2253	1.55E-07	3.95E-06	5.09E-06	1.33E-05	1.36E-05	1.83E-05	2.00E-05	NO						
arnC	b2254	1.55E-07	2.77E-06	2.31E-06	4.69E-06	6.66E-06	1.01E-05	1.75E-05	NO						
arnA	b2255	0.00E+00	1.13E-05	2.34E-05	5.12E-05	5.63E-05	6.64E-05	9.84E-05	NO						
arnD	b2256	0.00E+00	4.15E-06	1.14E-05	2.38E-05	2.76E-05	3.51E-05	3.75E-05	NO						
arnT	b2257	1.03E-05	4.15E-06	5.44E-06	2.86E-05	4.43E-05	3.66E-05	3.21E-05	NO						
arnE	b4544	1.55E-07	7.89E-07	1.66E-06	4.91E-06	1.07E-05	5.73E-06	9.14E-06	NO						
arnF	b2258	0.00E+00	1.18E-06	3.00E-06	3.47E-06	2.56E-06	5.90E-06	5.54E-06	NO						
rbn	b2268	5.05E-05	3.32E-05	3.34E-05	2.98E-05	3.56E-05	3.79E-05	3.35E-05	NO						
elaD	b2269	0.00E+00	4.94E-06	2.78E-06	2.72E-06	4.86E-06	3.90E-06	3.33E-06	NO						
yfbL	b2271	0.00E+00	7.91E-07	4.63E-07	7.14E-07	7.68E-07	4.10E-07	0.00E+00	NO						
yfbM	b2272	1.55E-07	5.92E-07	6.94E-07	8.15E-07	0.00E+00	0.00E+00	8.32E-07	NO						
yfbO	b2274	3.10E-06	0.00E+00	2.31E-07	2.44E-06	1.53E-06	2.66E-06	2.50E-06	NO						
yfbP	b2275	6.53E-06	5.42E-06	3.59E-06	7.75E-06	1.20E-05	1.31E-05	1.42E-05	NO						
yfbQ	b2290	1.45E-04	1.62E-04	1.33E-04	8.51E-05	7.44E-05	8.49E-05	7.54E-05	NO						
yfbR	b2291	2.70E-05	1.96E-05	2.50E-05	2.06E-05	2.05E-05	2.51E-05	1.75E-05	NO						
ackA	b2296	1.48E-03	1.29E-03	8.81E-04	3.85E-04	3.14E-04	2.09E-04	1.50E-04	NO						
